sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
EU530714	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Desaguadero, Puno	2001	2001	2001	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40787-01
EU530715	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Pomata, Puno	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN37476-02
EU530716	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN37478-02
EU530717	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Desaguadero, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	llama	-	PERPUN5020-03
EU530718	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN37451-03
EU530719	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40095-03
EU530720	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Juliaca, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40097-03
EU530721	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN40099-03
EU530722	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Zepita, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPUN44494-03
EU530723	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Desaguadero, Puno	2003	2003	2003	264	05-Apr-2008	26-Jul-2016	Felis catus	-	PERPUN48182-03
EU530725	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	PER	Peru	Madre de Dios	2000	2000	2000	264	05-Apr-2008	26-Jul-2016	Homo sapiens	-	PERMDD3851-00
EU530726	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	donkey	-	PERPIU28498-02
EU530727	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Canis familiaris	-	PERPIU24938-02
EU530728	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2002	2002	2002	264	05-Apr-2008	26-Jul-2016	Capra hircus	-	PERPIU42208-02
EU530729	AL_Cosmopolitan	Cosmopolitan	PER	Peru	Piura	2004	2004	2004	264	05-Apr-2008	26-Jul-2016	Vulpes vulpes	-	PERPIU32729-04
FJ228498	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	4355Perudg2004
FJ228499	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	Canis familiaris	-	4352Perudg2004
FJ228500	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2005	2005	2005	1350	08-Mar-2009	24-Jul-2016	Homo sapiens	-	1475peruhm2005
FJ228501	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2004	2004	2004	1350	08-Mar-2009	24-Jul-2016	Vulpes vulpes	-	26200PeruFx2004
KF831540	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	1985	1985	1985	220	07-Jan-2014	07-Jan-2014	Canis familiaris	-	LIMADOG
KF831564	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	1985	1985	1985	543	07-Jan-2014	07-Jan-2014	Canis familiaris	-	LIMADOG
KU938752	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2011	2011	2011	1350	03-Oct-2016	03-Oct-2016	Desmodus rotundus	27621441	201101787@2011Puno
KU938829	AL_Cosmopolitan	Cosmopolitan	PER	Peru	-	2012	2012	2012	1350	03-Oct-2016	03-Oct-2016	Desmodus rotundus	27621441	201203037@2012Puno
KU938904	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	PER	Peru	-	1999	1999	1999	1350	03-Oct-2016	03-Oct-2016	Desmodus rotundus	27621441	676@1999MadreDeDios
